Dataset,nTrees,Rep,K,DT,Bagging,RF,BaggingCustom,BaggingSA
wine,10,0,1,0.8333333333333334,0.9166666666666666,0.9444444444444444,0.8333333333333334,0.9444444444444444
wine,10,0,2,0.8611111111111112,1.0,1.0,1.0,1.0
wine,10,0,3,0.8333333333333334,0.9722222222222222,0.9722222222222222,0.9444444444444444,1.0
wine,10,0,4,0.8857142857142857,0.9714285714285714,1.0,0.9142857142857143,0.9428571428571428
wine,10,0,5,0.9714285714285714,1.0,0.9714285714285714,1.0,1.0
wine,10,1,1,0.8333333333333334,0.9166666666666666,0.9444444444444444,0.9166666666666666,0.9166666666666666
wine,10,1,2,0.9166666666666666,1.0,1.0,1.0,0.9444444444444444
wine,10,1,3,0.8888888888888888,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222
wine,10,1,4,0.8857142857142857,0.9714285714285714,1.0,0.9428571428571428,0.9428571428571428
wine,10,1,5,0.9714285714285714,1.0,0.9714285714285714,1.0,1.0
wine,10,2,1,0.8333333333333334,0.9166666666666666,0.9444444444444444,0.9166666666666666,0.8611111111111112
wine,10,2,2,0.8055555555555556,1.0,1.0,0.9444444444444444,0.9166666666666666
wine,10,2,3,0.8888888888888888,0.9722222222222222,0.9722222222222222,0.8888888888888888,0.9444444444444444
wine,10,2,4,0.8857142857142857,0.9714285714285714,1.0,0.9428571428571428,0.9714285714285714
wine,10,2,5,0.9428571428571428,1.0,0.9714285714285714,1.0,1.0
wine,10,3,1,0.8333333333333334,0.9166666666666666,0.9444444444444444,0.8888888888888888,0.8888888888888888
wine,10,3,2,0.9166666666666666,1.0,1.0,1.0,0.9444444444444444
wine,10,3,3,0.9166666666666666,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9166666666666666
wine,10,3,4,0.8857142857142857,0.9714285714285714,1.0,0.9428571428571428,0.9428571428571428
wine,10,3,5,0.9142857142857143,1.0,0.9714285714285714,1.0,1.0
wine,10,4,1,0.8055555555555556,0.9166666666666666,0.9444444444444444,0.9444444444444444,0.9166666666666666
wine,10,4,2,0.8611111111111112,1.0,1.0,1.0,0.9444444444444444
wine,10,4,3,0.8888888888888888,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222
wine,10,4,4,0.8857142857142857,0.9714285714285714,1.0,0.9714285714285714,0.9142857142857143
wine,10,4,5,0.9714285714285714,1.0,0.9714285714285714,1.0,0.9714285714285714
wine,20,0,1,0.8333333333333334,0.9166666666666666,0.9444444444444444,0.8888888888888888,0.9166666666666666
wine,20,0,2,0.9444444444444444,0.9722222222222222,1.0,1.0,1.0
wine,20,0,3,0.9166666666666666,0.9722222222222222,1.0,0.9722222222222222,1.0
wine,20,0,4,0.8857142857142857,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9428571428571428
wine,20,0,5,0.9428571428571428,1.0,1.0,1.0,1.0
wine,20,1,1,0.8333333333333334,0.9166666666666666,0.9444444444444444,0.8888888888888888,0.9166666666666666
wine,20,1,2,0.8333333333333334,0.9722222222222222,1.0,0.9722222222222222,0.9722222222222222
wine,20,1,3,0.8888888888888888,0.9722222222222222,1.0,0.9444444444444444,0.9722222222222222
wine,20,1,4,0.8857142857142857,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714
wine,20,1,5,0.9428571428571428,1.0,1.0,1.0,1.0
wine,20,2,1,0.8055555555555556,0.9166666666666666,0.9444444444444444,0.9166666666666666,0.9166666666666666
wine,20,2,2,0.8611111111111112,0.9722222222222222,1.0,1.0,0.9722222222222222
wine,20,2,3,0.8888888888888888,0.9722222222222222,1.0,0.9722222222222222,0.9444444444444444
wine,20,2,4,0.8571428571428571,0.9714285714285714,0.9714285714285714,0.9142857142857143,0.9714285714285714
wine,20,2,5,0.9428571428571428,1.0,1.0,1.0,1.0
wine,20,3,1,0.8055555555555556,0.9166666666666666,0.9444444444444444,0.9444444444444444,0.9722222222222222
wine,20,3,2,0.8611111111111112,0.9722222222222222,1.0,1.0,0.9444444444444444
wine,20,3,3,0.8888888888888888,0.9722222222222222,1.0,0.9722222222222222,1.0
wine,20,3,4,0.8857142857142857,0.9714285714285714,0.9714285714285714,0.9428571428571428,0.9714285714285714
wine,20,3,5,0.9428571428571428,1.0,1.0,1.0,1.0
wine,20,4,1,0.8611111111111112,0.9166666666666666,0.9444444444444444,0.9444444444444444,0.9444444444444444
wine,20,4,2,0.8333333333333334,0.9722222222222222,1.0,1.0,0.9722222222222222
wine,20,4,3,0.8611111111111112,0.9722222222222222,1.0,0.9722222222222222,1.0
wine,20,4,4,0.8571428571428571,0.9714285714285714,0.9714285714285714,0.9428571428571428,0.9714285714285714
wine,20,4,5,0.9428571428571428,1.0,1.0,1.0,1.0
wine,30,0,1,0.8333333333333334,0.9166666666666666,0.9444444444444444,0.9166666666666666,0.9444444444444444
wine,30,0,2,0.8888888888888888,1.0,1.0,0.9722222222222222,0.9722222222222222
wine,30,0,3,0.8888888888888888,0.9722222222222222,1.0,0.9722222222222222,0.9722222222222222
wine,30,0,4,0.8571428571428571,0.9714285714285714,0.9714285714285714,0.9428571428571428,1.0
wine,30,0,5,0.9428571428571428,1.0,1.0,1.0,1.0
wine,30,1,1,0.8611111111111112,0.9166666666666666,0.9444444444444444,0.9166666666666666,0.9444444444444444
wine,30,1,2,0.9444444444444444,1.0,1.0,1.0,1.0
wine,30,1,3,0.8333333333333334,0.9722222222222222,1.0,0.9444444444444444,1.0
wine,30,1,4,0.8857142857142857,0.9714285714285714,0.9714285714285714,0.9428571428571428,0.9428571428571428
wine,30,1,5,0.9714285714285714,1.0,1.0,1.0,1.0
wine,30,2,1,0.8333333333333334,0.9166666666666666,0.9444444444444444,0.9444444444444444,0.9444444444444444
wine,30,2,2,0.9166666666666666,1.0,1.0,1.0,0.9722222222222222
wine,30,2,3,0.8611111111111112,0.9722222222222222,1.0,0.9444444444444444,0.9722222222222222
wine,30,2,4,0.8857142857142857,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9428571428571428
wine,30,2,5,0.9142857142857143,1.0,1.0,1.0,1.0
wine,30,3,1,0.8333333333333334,0.9166666666666666,0.9444444444444444,0.9166666666666666,0.9722222222222222
wine,30,3,2,0.8888888888888888,1.0,1.0,1.0,1.0
wine,30,3,3,0.8888888888888888,0.9722222222222222,1.0,0.9444444444444444,0.9722222222222222
wine,30,3,4,0.8571428571428571,0.9714285714285714,0.9714285714285714,0.9428571428571428,0.9714285714285714
wine,30,3,5,0.9428571428571428,1.0,1.0,1.0,1.0
wine,30,4,1,0.8611111111111112,0.9166666666666666,0.9444444444444444,0.9444444444444444,0.9444444444444444
wine,30,4,2,0.9722222222222222,1.0,1.0,1.0,1.0
wine,30,4,3,0.8888888888888888,0.9722222222222222,1.0,0.9444444444444444,1.0
wine,30,4,4,0.8857142857142857,0.9714285714285714,0.9714285714285714,0.9428571428571428,1.0
wine,30,4,5,0.9714285714285714,1.0,1.0,1.0,1.0
wine,40,0,1,0.8055555555555556,0.9444444444444444,0.9444444444444444,0.9166666666666666,0.9166666666666666
wine,40,0,2,0.9444444444444444,1.0,1.0,1.0,1.0
wine,40,0,3,0.8888888888888888,0.9722222222222222,1.0,0.9444444444444444,0.9444444444444444
wine,40,0,4,0.8857142857142857,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9428571428571428
wine,40,0,5,0.9714285714285714,1.0,1.0,1.0,1.0
wine,40,1,1,0.8055555555555556,0.9444444444444444,0.9444444444444444,0.9166666666666666,0.9444444444444444
wine,40,1,2,0.8611111111111112,1.0,1.0,1.0,0.9722222222222222
wine,40,1,3,0.8611111111111112,0.9722222222222222,1.0,0.9444444444444444,0.9166666666666666
wine,40,1,4,0.8571428571428571,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714
wine,40,1,5,0.9714285714285714,1.0,1.0,1.0,1.0
wine,40,2,1,0.8055555555555556,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444
wine,40,2,2,0.8333333333333334,1.0,1.0,0.9722222222222222,1.0
wine,40,2,3,0.8611111111111112,0.9722222222222222,1.0,0.9722222222222222,0.9166666666666666
wine,40,2,4,0.8571428571428571,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714
wine,40,2,5,0.9428571428571428,1.0,1.0,1.0,1.0
wine,40,3,1,0.8055555555555556,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444
wine,40,3,2,0.9444444444444444,1.0,1.0,1.0,1.0
wine,40,3,3,0.8611111111111112,0.9722222222222222,1.0,0.9722222222222222,0.9444444444444444
wine,40,3,4,0.8857142857142857,0.9714285714285714,0.9714285714285714,0.9428571428571428,0.9714285714285714
wine,40,3,5,0.9428571428571428,1.0,1.0,1.0,1.0
wine,40,4,1,0.8333333333333334,0.9444444444444444,0.9444444444444444,0.9166666666666666,0.9166666666666666
wine,40,4,2,0.8333333333333334,1.0,1.0,1.0,1.0
wine,40,4,3,0.8888888888888888,0.9722222222222222,1.0,0.9166666666666666,0.9444444444444444
wine,40,4,4,0.8857142857142857,0.9714285714285714,0.9714285714285714,0.9428571428571428,0.9714285714285714
wine,40,4,5,0.9142857142857143,1.0,1.0,1.0,1.0
wine,50,0,1,0.8055555555555556,0.9444444444444444,0.9444444444444444,0.9166666666666666,0.9444444444444444
wine,50,0,2,0.9166666666666666,0.9722222222222222,1.0,1.0,1.0
wine,50,0,3,0.8888888888888888,0.9722222222222222,1.0,0.9444444444444444,0.9722222222222222
wine,50,0,4,0.8857142857142857,0.9714285714285714,0.9714285714285714,0.9428571428571428,0.9428571428571428
wine,50,0,5,0.9714285714285714,1.0,1.0,1.0,1.0
wine,50,1,1,0.8055555555555556,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444
wine,50,1,2,0.8888888888888888,0.9722222222222222,1.0,1.0,0.9722222222222222
wine,50,1,3,0.8611111111111112,0.9722222222222222,1.0,0.9722222222222222,0.9722222222222222
wine,50,1,4,0.8857142857142857,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714
wine,50,1,5,0.9714285714285714,1.0,1.0,1.0,1.0
wine,50,2,1,0.8333333333333334,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9166666666666666
wine,50,2,2,0.8888888888888888,0.9722222222222222,1.0,1.0,1.0
wine,50,2,3,0.8611111111111112,0.9722222222222222,1.0,0.9722222222222222,0.9722222222222222
wine,50,2,4,0.8857142857142857,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714
wine,50,2,5,0.9714285714285714,1.0,1.0,1.0,1.0
wine,50,3,1,0.8611111111111112,0.9444444444444444,0.9444444444444444,0.9166666666666666,0.9444444444444444
wine,50,3,2,0.9166666666666666,0.9722222222222222,1.0,1.0,1.0
wine,50,3,3,0.8611111111111112,0.9722222222222222,1.0,0.9722222222222222,0.9166666666666666
wine,50,3,4,0.8857142857142857,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9428571428571428
wine,50,3,5,0.9428571428571428,1.0,1.0,1.0,1.0
wine,50,4,1,0.8055555555555556,0.9444444444444444,0.9444444444444444,0.9166666666666666,0.9722222222222222
wine,50,4,2,0.9444444444444444,0.9722222222222222,1.0,1.0,1.0
wine,50,4,3,0.8611111111111112,0.9722222222222222,1.0,0.9444444444444444,0.9444444444444444
wine,50,4,4,0.8857142857142857,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9428571428571428
wine,50,4,5,0.9714285714285714,1.0,1.0,1.0,1.0
